,Year,Continent
0,1991,
1,1991,Africa
2,1991,Asia
3,1991,Europe
4,1991,North America
5,1991,Oceania
6,1991,South America
7,1992,
8,1992,Africa
9,1992,Asia
10,1992,Europe
11,1992,North America
12,1992,Oceania
13,1992,South America
14,1993,
15,1993,Africa
16,1993,Asia
17,1993,Europe
18,1993,North America
19,1993,Oceania
20,1993,South America
21,1994,
22,1994,Africa
23,1994,Asia
24,1994,Europe
25,1994,North America
26,1994,Oceania
27,1994,South America
28,1995,
29,1995,Africa
30,1995,Asia
31,1995,Europe
32,1995,North America
33,1995,Oceania
34,1995,South America
35,1996,
36,1996,Africa
37,1996,Asia
38,1996,Europe
39,1996,North America
40,1996,Oceania
41,1996,South America
42,1997,
43,1997,Africa
44,1997,Asia
45,1997,Europe
46,1997,North America
47,1997,Oceania
48,1997,South America
49,1998,
50,1998,Africa
51,1998,Asia
52,1998,Europe
53,1998,North America
54,1998,Oceania
55,1998,South America
56,1999,
57,1999,Africa
58,1999,Asia
59,1999,Europe
60,1999,North America
61,1999,Oceania
62,1999,South America
63,2000,
64,2000,Africa
65,2000,Asia
66,2000,Europe
67,2000,North America
68,2000,Oceania
69,2000,South America
70,2001,
71,2001,Africa
72,2001,Asia
73,2001,Europe
74,2001,North America
75,2001,Oceania
76,2001,South America
77,2002,
78,2002,Africa
79,2002,Asia
80,2002,Europe
81,2002,North America
82,2002,Oceania
83,2002,South America
84,2003,
85,2003,Africa
86,2003,Asia
87,2003,Europe
88,2003,North America
89,2003,Oceania
90,2003,South America
91,2004,
92,2004,Africa
93,2004,Asia
94,2004,Europe
95,2004,North America
96,2004,Oceania
97,2004,South America
98,2005,
99,2005,Africa
100,2005,Asia
101,2005,Europe
102,2005,North America
103,2005,Oceania
104,2005,South America
105,2006,
106,2006,Africa
107,2006,Asia
108,2006,Europe
109,2006,North America
110,2006,Oceania
111,2006,South America
112,2007,
113,2007,Africa
114,2007,Asia
115,2007,Europe
116,2007,North America
117,2007,Oceania
118,2007,South America
119,2008,
120,2008,Africa
121,2008,Asia
122,2008,Europe
123,2008,North America
124,2008,Oceania
125,2008,South America
126,2009,
127,2009,Africa
128,2009,Asia
129,2009,Europe
130,2009,North America
131,2009,Oceania
132,2009,South America
133,2010,
134,2010,Africa
135,2010,Asia
136,2010,Europe
137,2010,North America
138,2010,Oceania
139,2010,South America
140,2011,
141,2011,Africa
142,2011,Asia
143,2011,Europe
144,2011,North America
145,2011,Oceania
146,2011,South America
147,2012,
148,2012,Africa
149,2012,Asia
150,2012,Europe
151,2012,North America
152,2012,Oceania
153,2012,South America
154,2013,
155,2013,Africa
156,2013,Asia
157,2013,Europe
158,2013,North America
159,2013,Oceania
160,2013,South America
161,2014,
162,2014,Africa
163,2014,Asia
164,2014,Europe
165,2014,North America
166,2014,Oceania
167,2014,South America
168,2015,
169,2015,Africa
170,2015,Asia
171,2015,Europe
172,2015,North America
173,2015,Oceania
174,2015,South America
175,2016,
176,2016,Africa
177,2016,Asia
178,2016,Europe
179,2016,North America
180,2016,Oceania
181,2016,South America
182,2017,
183,2017,Africa
184,2017,Asia
185,2017,Europe
186,2017,North America
187,2017,Oceania
188,2017,South America
189,2018,
190,2018,Africa
191,2018,Asia
192,2018,Europe
193,2018,North America
194,2018,Oceania
195,2018,South America
196,2019,
197,2019,Africa
198,2019,Asia
199,2019,Europe
200,2019,North America
201,2019,Oceania
202,2019,South America
203,2020,
204,2020,Africa
205,2020,Asia
206,2020,Europe
207,2020,North America
208,2020,Oceania
209,2020,South America
210,2021,
211,2021,Africa
212,2021,Asia
213,2021,Europe
214,2021,North America
215,2021,Oceania
216,2021,South America
217,2022,
218,2022,Africa
219,2022,Asia
220,2022,Europe
221,2022,North America
222,2022,Oceania
223,2022,South America
